Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Csf1-Csf1R Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Dna Double-Strand Break Attachment To Nuclear Envelope -> Biodomain: DNA Repair, Apoptosis, Epigenetic, Synapse, Proteostasis
GO Term: Ush2 Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Protein Depalmitoleylation -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Palmitoleoyltransferase Activity -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Palmitoleyl Hydrolase Activity -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nucleolar Chromatin Organization -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Cholangiocyte Proliferation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Mad1 Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Conditioned Place Preference -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Presynaptic Active Zone Organization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Beta-Catenin-Icat Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Hfe-Transferrin Receptor Complex -> Biodomain: Iron Homeostasis, Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis
GO Term: Survivin Complex -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Mrna Cds Binding -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Axonemal Central Apparatus -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Axonemal Central Pair Projection -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Dapk1-Calmodulin Complex -> Biodomain: Apoptosis, Autophagy, Synapse, Proteostasis, Oxidative Stress
GO Term: Cytoplasmic Periphery Of The Nuclear Pore Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Galectin Complex -> Biodomain: Synapse, Apoptosis, Immune Response, Proteostasis, Oxidative Stress
GO Term: Lsm1-7-Pat1 Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Mitotic Spindle Assembly Checkpoint Mad1-Mad2 Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Synapse, RNA Spliceosome
GO Term: Vcp-Nsfl1C Complex -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, RNA Spliceosome
GO Term: Titin-Telethonin Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Response To Manganese-Induced Endoplasmic Reticulum Stress -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Pseudouridine 5'-Phosphatase Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Granulosa Cell Proliferation -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Microvesicle -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Protein Sialylation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Epigenetic
GO Term: Earp Complex -> Biodomain: Synapse, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Cellular Detoxification -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Microtubule End -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: Mitotic Spindle Microtubule Depolymerization -> Biodomain: Cell Cycle, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Ubiquitin-Like Ligase-Substrate Adaptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Ubiquitin Ligase Activator Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Mitotic Sister Chromatid Biorientation -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Synapse, RNA Spliceosome
GO Term: Osmolarity-Sensing Monoatomic Cation Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Growth Cone Lamellipodium -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Arrestin Family Protein Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Myofibroblast Contraction -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Proximal Neuron Projection -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Small Intestine Smooth Muscle Contraction -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Clathrin-Dependent Extracellular Exosome Endocytosis -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, RNA Spliceosome
GO Term: Response To Angiotensin -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Lipoprotein Particle -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Protein Localization To Cell Periphery -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Glycoprotein Ib-Ix-V Complex -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Cytoplasmic Side Of Dendritic Spine Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Protein Tyrosine Kinase Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Response To Water-Immersion Restraint Stress -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Immune Response
GO Term: Cellular Response To Dsdna -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Negative Regulation Of Hh Target Transcription Factor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Gli-Sufu Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Response To Glial Cell Derived Neurotrophic Factor -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Dorsal Root Ganglion Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, RNA Spliceosome
GO Term: Cellular Response To Glial Cell Derived Neurotrophic Factor -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Basolateral Part Of Cell -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Ligand-Gated Ion Channel Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Endoplasmic Reticulum Tubular Network Membrane Organization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Mwp Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Growth Cone Filopodium -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress
GO Term: Dna/Dna Annealing Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Poly(A) Rna Polymerase Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Basic Amino Acid Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Response To Leukemia Inhibitory Factor -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, RNA Spliceosome
GO Term: Sequence-Specific Mrna Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Hepatocyte Dedifferentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: C-Rich Single-Stranded Dna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, DNA Repair
GO Term: Cellular Response To Leukemia Inhibitory Factor -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Response To Odorant -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Sequence-Specific Double-Stranded Dna Binding -> Biodomain: Synapse, RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair
GO Term: Poly(U)-Specific Exoribonuclease Activity, Producing 3' Uridine Cyclic Phosphate Ends -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Oxidative Stress, Apoptosis
GO Term: Response To Endothelin -> Biodomain: Vasculature, Synapse, Oxidative Stress, Immune Response, Apoptosis
GO Term: Promoter-Specific Chromatin Binding -> Biodomain: Synapse, RNA Spliceosome, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Adaptive Thermogenesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Wnt-Frizzled-Lrp5/6 Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Methionyl-Initiator Methionine Trna Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Cellular Response To Lectin -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Cellular Response To Endothelin -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Acinar Cell Proliferation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Cellular Response To Chemokine -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Vascular Associated Smooth Muscle Cell Proliferation -> Biodomain: Synapse, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Cytoplasmic Side Of Nuclear Pore -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Fnip-Folliculin Ragc/D Gap -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Cst Complex -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, DNA Repair
GO Term: 18S Rrna Cytidine N-Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Histone H4K20Me3 Reader Activity -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Synapse, Apoptosis
GO Term: Netrin Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Ribonucleoprotein Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Beta-Catenin-Tcf Complex -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Epigenetic
GO Term: Wnt Signalosome -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Response To Hypobaric Hypoxia -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Response To Psychosocial Stress -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Sperm Head Plasma Membrane -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Ooplasm -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Double-Strand Break Repair Involved In Meiotic Recombination -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: Pet Complex -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Short-Term Synaptic Potentiation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Calcium Ion Regulated Lysosome Exocytosis -> Biodomain: Synapse, Autophagy, Oxidative Stress, Proteostasis, Calcium Homeostasis
GO Term: Response To Amino Acid Starvation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Mrna N1-Methyladenosine Dioxygenase Activity -> Biodomain: Synapse, RNA Spliceosome, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Mrna N6-Methyladenosine Dioxygenase Activity -> Biodomain: RNA Spliceosome, Synapse, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Splicing Factor Binding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Ubiquitin Ligase Inhibitor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Metaphase/Anaphase Transition Of Meiosis I -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, RNA Spliceosome
GO Term: Intramanchette Transport -> Biodomain: Synapse, Proteostasis, Autophagy, RNA Spliceosome, Oxidative Stress
GO Term: G-Rich Single-Stranded Dna Binding -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Synapse
GO Term: Eosinophil Homeostasis -> Biodomain: Immune Response, Apoptosis, Synapse, Proteostasis, Oxidative Stress
GO Term: Basophil Homeostasis -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Xenobiotic Detoxification By Transmembrane Export Across The Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Immune Response
GO Term: Xenobiotic Transport Across Blood-Brain Barrier -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
GO Term: Establishment Of Blood-Retinal Barrier -> Biodomain: Synapse, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Atp Generation From Poly-Adp-D-Ribose -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Emilin Complex -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Multimerin Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Regulation Of Translational Initiation By Trna Modification -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Epigenetic
GO Term: Trna Demethylase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Synapse, Oxidative Stress
GO Term: Positive Regulation Of Dna Damage Checkpoint -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Metanephric S-Shaped Body Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Negative Regulation Of Metanephric Comma-Shaped Body Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Regulation Of Protein Localization To Cell Surface -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Negative Regulation Of Protein Localization To Cell Surface -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Positive Regulation Of Protein Localization To Cell Surface -> Biodomain: Synapse, Proteostasis, Oxidative Stress, RNA Spliceosome, Apoptosis
GO Term: Regulation Of Adaxial/Abaxial Pattern Formation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Negative Regulation Of Determination Of Dorsal Identity -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Positive Regulation Of Determination Of Dorsal Identity -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Negative Regulation Of Male Gonad Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Positive Regulation Of Male Gonad Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Regulation Of Multicellular Organismal Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Regulation Of Animal Organ Morphogenesis -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Regulation Of Stem Cell Division -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Regulation Of Stem Cell Population Maintenance -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Epigenetic
GO Term: Negative Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Epigenetic, Autophagy, Synapse, Proteostasis
GO Term: Regulation Of Cardiac Cell Fate Specification -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Regulation Of G1/S Transition Of Mitotic Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Synapse, RNA Spliceosome
GO Term: Negative Regulation Of Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Cell-Cell Adhesion Mediated By Cadherin -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Positive Regulation Of Non-Canonical Wnt Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Synapse, Apoptosis, Autophagy, RNA Spliceosome
GO Term: Negative Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Negative Regulation Of Ureter Smooth Muscle Cell Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Positive Regulation Of Ureter Smooth Muscle Cell Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Regulation Of Cortisol Biosynthetic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Apoptosis
