Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: S-(Hydroxymethyl)Glutathione Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: L-Phenylalaine Oxidase Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Sialate 9-O-Acetylesterase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Subcortical Maternal Complex -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Immune Response, Apoptosis
GO Term: Trna (5-Carboxymethyluridine(34)-5-O)-Methyltransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, RNA Spliceosome
GO Term: Trna (Cytidine(32)/Guanosine(34)-2'-O)-Methyltransferase Activity -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Omega-Hydroxyceramide Transacylase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Omega-Hydroxyceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: U2 Snrna 2'-O-Methyladenosine M6 Methyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Trna Surveillance -> Biodomain: Proteostasis, Apoptosis, RNA Spliceosome, Oxidative Stress, Immune Response
GO Term: 2-Hydroxyacyl-Coa Lyase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Protein-Cysteine Methyltransferase Activity -> Biodomain: Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: 4-Hydroxy-3-All-Trans-Polyprenylbenzoate Oxygenase Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Protein-L-Histidine N-Pros-Methyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: 3-Deoxyglucosone Dehydrogenase Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Deoxynucleoside Triphosphate Hydrolase Activity -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: 2-Hydroxyphytanoyl-Coa Lyase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: 2-Hydroxy-Atp Hydrolase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: 2-Hydroxy-Datp Hydrolase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Damp Salvage -> Biodomain: APP Metabolism, Oxidative Stress, Proteostasis, Tau Homeostasis, Autophagy
GO Term: (3R)-3-Hydroxyacyl-Coa Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Rrna Small Subunit Aminocarboxypropyltransferase Activity -> Biodomain: Proteostasis, Synapse, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Lewis X Epitope Biosynthetic Process -> Biodomain: Proteostasis, Synapse, Immune Response, APP Metabolism, Oxidative Stress
GO Term: Isoprenoid Diphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glc2Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Oxidative Stress, Tau Homeostasis
GO Term: Mrna Dihydrouridine Synthase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Nad-Dependent Protein Lipoamidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Nad-Dependent Protein Biotinidase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Tubulin-Tyrosine Carboxypeptidase -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: 11-Cis-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Oxidative Stress, APP Metabolism, Proteostasis, Lipid Metabolism, Tau Homeostasis
GO Term: Dihydroorotate Dehydrogenase (Quinone) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: N6-Methyl-(D)Atp Hydrolase Activity -> Biodomain: Proteostasis, Synapse, Oxidative Stress, APP Metabolism, Autophagy
GO Term: O6-Methyl-Dgtp Hydrolase Activity -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Carboxylesterase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response
GO Term: Glutathione-Dependent Sulfide Quinone Oxidoreductase Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Immune Response
GO Term: Protein-Glutamic Acid Ligase Activity, Initiating -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Protein-Glutamic Acid Ligase Activity, Elongating -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: L-Lysine:L-Arginine Antiporter Activity -> Biodomain: Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Regulation Of Trna Methylation -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Autophagy, Immune Response
GO Term: Basolateral Protein Secretion -> Biodomain: Synapse, APP Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Regulation Of Basement Membrane Organization -> Biodomain: Synapse, Immune Response, Proteostasis, Tau Homeostasis, Vasculature
GO Term: Protein Localization To P-Body -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Elastin Catabolic Process -> Biodomain: Proteostasis, Oxidative Stress, Synapse, APP Metabolism, Immune Response
GO Term: B-Wich Complex -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Cardiac Muscle Myoblast Proliferation -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cardiac Muscle Myoblast Proliferation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Regulation Of Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Proteostasis, Immune Response
GO Term: Negative Regulation Of Dna Strand Resection Involved In Replication Fork Processing -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Immune Response
GO Term: Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of G2/Mi Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
GO Term: Deaminated Glutathione Amidase Activity -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Autophagy, Tau Homeostasis
GO Term: Metabolite Repair -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, APP Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Actin Filament Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Negative Regulation Of Blood Vessel Endothelial Cell Differentiation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Negative Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Lncrna Catabolic Process -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Cellularization Cleavage Furrow -> Biodomain: Proteostasis, Apoptosis, Immune Response, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Ferroptosis -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Iron Binding and Homeostasis
GO Term: Negative Regulation Of Ferroptosis -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Vesicle-Mediated Intercellular Transport -> Biodomain: Synapse, Endolysosome, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Ttt Hsp90 Cochaperone Complex -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Negative Regulation Of Placenta Blood Vessel Development -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Immune Response, Oxidative Stress
GO Term: Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Positive Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis, Immune Response
GO Term: Negative Regulation Of Hippocampal Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Immune Response, Tau Homeostasis
GO Term: Cellular Detoxification Of Aldehyde -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, APP Metabolism, Immune Response
GO Term: Regulation Of Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Negative Regulation Of Calcium Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Mrna Alternative Polyadenylation -> Biodomain: RNA Spliceosome, Proteostasis, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Very-Low-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Immune Response, Proteostasis
GO Term: Norrin Signaling Pathway -> Biodomain: Synapse, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Ubiquinone Biosynthesis Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Rna Nad+-Cap (Nad+-Forming) Hydrolase Activity -> Biodomain: RNA Spliceosome, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Rna Nad-Cap (Nmn-Forming) Hydrolase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Rna Decapping -> Biodomain: RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress, Tau Homeostasis
GO Term: Nad-Cap Decapping -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Mrna Methylguanosine-Cap Decapping -> Biodomain: Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis, Immune Response
GO Term: Reelin Complex -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Calpain Complex -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Apical Plasma Membrane Urothelial Plaque -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Immune Response
GO Term: Hinge Region Between Urothelial Plaques Of Apical Plasma Membrane -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Glutamatergic Neuron Differentiation -> Biodomain: Synapse, Immune Response, Proteostasis, Tau Homeostasis, Apoptosis
GO Term: Intermembrane Lipid Transfer -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Intermembrane Phospholipid Transfer -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Intermembrane Sphingolipid Transfer -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lipid Transfer Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, APP Metabolism, Proteostasis, Tau Homeostasis
GO Term: Phospholipid Transfer Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Autophagy, Synapse
GO Term: Sterol Transfer Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Ceramide Transfer Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Phosphatidylcholine Transfer Activity -> Biodomain: Lipid Metabolism, APP Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Cholesterol Transfer Activity -> Biodomain: Lipid Metabolism, Cholesterol Transfer Activity, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Glucagon Family Peptide Binding -> Biodomain: Immune Response, Oxidative Stress, APP Metabolism, Proteostasis, Synapse
GO Term: Plasma Membrane Bounded Cell Projection -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: Plasma Membrane Bounded Cell Projection Assembly -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Regulation Of Plasma Membrane Bounded Cell Projection Organization -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Plasma Membrane Bounded Cell Projection Organization -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Immune Response
GO Term: Positive Regulation Of Macrophage Proliferation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Negative Regulation Of Macrophage Proliferation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Stereocilium Shaft -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Stereocilium Base -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Stereocilium Maintenance -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: U6 Snrna (Adenine-(43)-N(6))-Methyltransferase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, Immune Response, Apoptosis
GO Term: Snrna (Adenine-N6)-Methylation -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Ribitol Beta-1,4-Xylosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Large Intestinal Transit -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Positive Regulation Of Small Intestinal Transit -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Negative Regulation Of Gastric Emptying -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Positive Regulation Of Stomach Fundus Smooth Muscle Contraction -> Biodomain: Vasculature, Immune Response, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Pyloric Antrum Smooth Muscle Contraction -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Immune Response, APP Metabolism
GO Term: Negative Regulation Of Endocardial Cushion Cell Differentiation -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Endolysosome, Tau Homeostasis
GO Term: Cell Adhesion Involved In Sprouting Angiogenesis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Crotonyl-Coa Hydratase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Negative Regulation Of Peptidyl-Lysine Crotonylation -> Biodomain: Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: Vacuole-Isolation Membrane Contact Site -> Biodomain: Autophagy, Oxidative Stress, Proteostasis, APP Metabolism, Immune Response
GO Term: Procentriole -> Biodomain: Cell Cycle, Proteostasis, Tau Homeostasis, Synapse, Apoptosis
GO Term: Procentriole Replication Complex -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Tau Homeostasis, Immune Response
GO Term: Centriolar Subdistal Appendage -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Dna-3'-Diphospho-5'-Guanosine Diphosphatase -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Neuron Projection Cytoplasm -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Sm-Like Protein Family Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Lsm2-8 Complex -> Biodomain: RNA Spliceosome, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Glucagon Processing -> Biodomain: Proteostasis, APP Metabolism, Oxidative Stress, Immune Response, Autophagy
GO Term: T Cell Meandering Migration -> Biodomain: Immune Response, Synapse, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Positive Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Proteostasis, Tau Homeostasis, Oxidative Stress
