Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Fibronectin Fibril Organization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Unknown, Oxidative Stress
GO Term: Negative Regulation Of Optical Nerve Axon Regeneration -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Resveratrol Binding -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Receptor-Mediated Endocytosis Involved In Cholesterol Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Lipid Metabolism
GO Term: Positive Regulation Of Receptor-Mediated Endocytosis Involved In Cholesterol Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Lipid Metabolism
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Synapse, Oxidative Stress, Immune Response, Unknown, Proteostasis
GO Term: Negative Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Positive Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Regulation Of Presynapse Assembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Negative Regulation Of Presynapse Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Unknown
GO Term: Positive Regulation Of Presynapse Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Smooth Muscle Cell-Matrix Adhesion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Regulation Of Serotonin Biosynthetic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, RNA Spliceosome
GO Term: Cellular Response To Glyceraldehyde -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Regulation Of Protein Localization To Chromatin -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Unknown
GO Term: Negative Regulation Of Mitochondrial Mrna Catabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Unknown
GO Term: Cellular Response To Acetaldehyde -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Proline Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Regulation Of Artery Morphogenesis -> Biodomain: Vasculature, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Artery Morphogenesis -> Biodomain: Unknown, Synapse, Immune Response, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Artery Morphogenesis -> Biodomain: Vasculature, Synapse, Unknown, Proteostasis, Oxidative Stress
GO Term: Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Positive Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Homeostasis, Unknown
GO Term: Negative Regulation Of Protein Localization To Endosome -> Biodomain: Endolysosome, Synapse, Proteostasis, Apoptosis, Unknown
GO Term: Positive Regulation Of Protein Localization To Endosome -> Biodomain: Endolysosome, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Torc1 Complex Assembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Unknown
GO Term: Torc2 Complex Disassembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Autophagy
GO Term: Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Unknown, Synapse
GO Term: Negative Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Autophagy, Synapse, Proteostasis, Unknown
GO Term: Positive Regulation Of Lysosome Organization -> Biodomain: Endolysosome, Autophagy, Synapse, Proteostasis, Unknown
GO Term: Negative Regulation Of Adaptive Immune Memory Response -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Adaptive Immune Memory Response -> Biodomain: Immune Response, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Regulation Of Plasma Membrane Repair -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Plasma Membrane Repair -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Lipid Droplet Disassembly -> Biodomain: Lipid Metabolism, Autophagy, Synapse, Proteostasis, Unknown
GO Term: Negative Regulation Of Phosphatidic Acid Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Positive Regulation Of Phosphatidic Acid Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Negative Regulation Of Xenobiotic Detoxification By Transmembrane Export Across The Plasma Membrane -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Negative Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Positive Regulation Of Inhibitory Synapse Assembly -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Regulation Of Mitochondrial Atp Synthesis Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Negative Regulation Of Mitochondrial Atp Synthesis Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Negative Regulation Of Membrane Permeability -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Positive Regulation Of Membrane Permeability -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Negative Regulation Of Cornification -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Protein Localization To Perinuclear Region Of Cytoplasm -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Cytoplasmic Microtubule Bundle -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Structural Stabilization
GO Term: Mitotic Spindle Astral Microtubule End -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of L-Proline Import Across Plasma Membrane -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Positive Regulation Of Mrna Cis Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Unknown, Synapse, Epigenetic
GO Term: Negative Regulation Of Saliva Secretion -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Hard Palate Morphogenesis -> Biodomain: Synapse, Unknown, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Endosome To Plasma Membrane Protein Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Unknown, Oxidative Stress
GO Term: Scf Ubiquitin Ligase Complex Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Ccr4-Not Complex Binding -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Unknown, Oxidative Stress
GO Term: Negative Regulation Of Protection From Non-Homologous End Joining At Telomere -> Biodomain: Unknown, DNA Repair, Synapse, Proteostasis, Apoptosis
GO Term: Regulation Of Mesodermal Cell Differentiation -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Positive Regulation Of Mesodermal Cell Differentiation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: 8-Hydroxy-2'-Deoxyguanosine Dna Binding -> Biodomain: DNA Repair, Oxidative Stress, Unknown, Proteostasis, Synapse
GO Term: Positive Regulation Of Phosphatidylserine Exposure On Apoptotic Cell Surface -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Regulation Of Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Positive Regulation Of Anaphase-Promoting Complex-Dependent Catabolic Process -> Biodomain: Synapse, Proteostasis, Autophagy, Unknown, Oxidative Stress
GO Term: Protein Localization To Pericentriolar Material -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Puromycin -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Regulation Of Intraciliary Retrograde Transport -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Excitatory Synapse Pruning -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Regulation Of Synapse Pruning -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Positive Regulation Of Synapse Pruning -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Synapse Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Unknown
GO Term: Regulation Of Excitatory Synapse Pruning -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Regulation Of Chromosome Separation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Positive Regulation Of Chromosome Separation -> Biodomain: Unknown, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Chromosome Condensation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Regulation Of Prostaglandin Catabolic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Positive Regulation Of Spindle Assembly -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Microtubule Nucleation -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Tau Homeostasis
GO Term: Cellular Response To Pyrimidine Ribonucleotide -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Negative Regulation Of Telomeric D-Loop Disassembly -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Telomeric D-Loop Disassembly -> Biodomain: Unknown, DNA Repair, Epigenetic, Synapse, Proteostasis
GO Term: Negative Regulation Of Pentose-Phosphate Shunt -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Mitochondrial Metabolism
GO Term: Positive Regulation Of Pentose-Phosphate Shunt -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Mitochondrial Metabolism
GO Term: Epididymis Development -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of 3'-Utr-Mediated Mrna Stabilization -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Positive Regulation Of 3'-Utr-Mediated Mrna Stabilization -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Unknown
GO Term: Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Positive Regulation Of Protein Localization To Cell Leading Edge -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Negative Regulation Of Postsynaptic Density Organization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Negative Regulation Of Triglyceride Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Lipid Metabolism
GO Term: Positive Regulation Of Triglyceride Transport -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Regulation Of Cellular Response To Very-Low-Density Lipoprotein Particle Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Lipid Metabolism
GO Term: Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Positive Regulation Of Response To Endoplasmic Reticulum Stress -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Unknown
GO Term: Regulation Of Smooth Muscle Tissue Development -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Mesoderm Formation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Amyloid Fibril Formation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Negative Regulation Of Amyloid Fibril Formation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Positive Regulation Of Amyloid Fibril Formation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Regulation Of Calcium Ion Export Across Plasma Membrane -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Negative Regulation Of Calcium Ion Export Across Plasma Membrane -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Homeostasis, Unknown
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Differentiation Involved In Phenotypic Switching -> Biodomain: Vasculature, Unknown, Synapse, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Differentiation Involved In Phenotypic Switching -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cell Fate Determination -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, RNA Spliceosome
GO Term: Positive Regulation Of Cell Fate Determination -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Epigenetic
GO Term: Regulation Of Germ Cell Proliferation -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Regulation Of Response To Calcium Ion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Negative Regulation Of Calcium Ion Import Across Plasma Membrane -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Homeostasis, Unknown
GO Term: Regulation Of Lipid Localization -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Unknown, Oxidative Stress
GO Term: Negative Regulation Of Endothelial Tube Morphogenesis -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Endothelial Tube Morphogenesis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Endolysosome
GO Term: Glutamatergic Neuron Differentiation -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Amyloid Fibril Formation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Methylglyoxal Reductase (Nadph) (Acetol Producing) Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Idp Phosphatase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Granular Vesicle -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Endolysosome
GO Term: Neurosecretory Vesicle -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Retinal Cell Apoptotic Process -> Biodomain: Apoptosis, Synapse, Oxidative Stress, Proteostasis, Unknown
GO Term: Mitotic Spindle Midzone -> Biodomain: Unknown, Cell Cycle, Proteostasis, Apoptosis, Synapse
GO Term: Hippocampal Mossy Fiber Expansion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Vasomotion -> Biodomain: Unknown, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Pericellular Basket -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Pinceau Fiber -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Parallel Fiber -> Biodomain: Synapse, Proteostasis, Unknown, Mitochondrial Metabolism, Oxidative Stress
GO Term: Calcium Ion Export Across Plasma Membrane -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Ion Export, Unknown
GO Term: Calcium Ion Import Into Sarcoplasmic Reticulum -> Biodomain: Synapse, Proteostasis, Calcium Ion Import Into Sarcoplasmic Reticulum, Oxidative Stress, Unknown
GO Term: Lewy Body Core -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Lewy Body Corona -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Protein Localization To Lipid Droplet -> Biodomain: Lipid Metabolism, Unknown, Autophagy, Proteostasis, Synapse
GO Term: Stress-Induced Mitochondrial Fusion -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Spindle Matrix -> Biodomain: Unknown, Cell Cycle, Proteostasis, Apoptosis, Synapse
